ITEM_ID,CATEGORY_L1,CATEGORY_L2,PRODUCT_DESCRIPTION,PRICE,GENDER
cb12324e-4a35-4c97-a5ec-b14424bb1570,accessories,bag,Peru-orange bag for men,89.99,M
d16257f7-da83-4b24-9e2f-5c4a2a67bdc9,seasonal,valentine,A must-have for that special day,56.99,ANY
c108b04b-64fd-43bd-80fc-4819eb01803a,apparel,jacket,This dark slate gray jacket for men is perfect for the office,129.99,M
321f93c5-c289-4418-ae3d-05c524f867ad,accessories,glasses,Trendy glasses for men,59.99,M
2a5c2db3-ef32-4f77-ad19-f2d0dc89f779,floral,bouquet,Wedding bouquet delivered fresh and vibrant from our growers,69.99,ANY
e093925f-ea8c-4409-a00f-3d725cc463fb,books,cooking,Learn to cook Swedish cuisine with these easy recipes,54.99,ANY
ea27628a-e7a4-4383-a13b-71c32ddeee1c,electronics,headphones,This accurate pair of headphones is outstanding in clarity,153.99,ANY
4df77d59-732e-4194-b9aa-7ad3878345e7,accessories,handbag,This tan handbag is a sublime dressy companion,114.99,F
4994caee-f0b7-4ce8-a4df-d542ce1d9bda,beauty,bathing,Enjoy the fragrance of this rich soap,73.99,ANY
9e663074-853f-45a4-a950-9419eaff5531,books,cooking,Learn to cook Spanish cuisine with these easy recipes,49.99,ANY
b78718ce-5f0a-4f39-8eb0-56de026b4870,accessories,backpack,Dark slate gray men's backpack for roving everywhere during the season,146.99,M
ef2bc846-fed1-4d6b-a9bb-e50c6961f254,books,travel,Plan your next trip with this essential reference book on Kenya,15.99,ANY
938bb9e7-d978-4159-b13d-e653c1548934,outdoors,fishing,Take this sure-fire fishing lure with you,53.99,ANY
a31ad4b3-f9a8-4a9b-a8b3-3034af7bacec,groceries,fruits,Make sure to have your fresh dose of vitamin C every day,3.99,ANY
d725a542-ddaf-4e1c-a2fb-10628a6e1407,furniture,chairs,Increase your productivity with this nice black office chair,112.99,ANY
cafd3a0b-1cee-4b14-a852-fe507c8197cd,apparel,shirt,Fashionable dressy white shirt for men,149.99,M
0712d739-d058-414e-b905-703eaaa3d3ca,floral,plant,Indoor plant delivered fresh and vibrant from our growers,76.99,ANY
be4a7449-c9a9-4528-9415-4db4116f021c,seasonal,halloween,A must-have for that fanciful day loved by all,15.99,ANY
f98ba1c4-fc1d-4467-83bb-014b1cdb96eb,seasonal,valentine,Be sure to order early for that special day,47.99,ANY
58c0ca95-b1ff-4cd4-a7c2-2ea2ce714ad4,accessories,bag,This peru-orange bag for men is incomparable for everyday use,127.99,M
3fa257ab-5c4c-4963-941f-bc73bafc8bff,groceries,vegetables,Keep your pantry well stocked with this delish and polyvalent veggie,5.99,ANY
f4d6df27-394b-42bb-b1e3-130eca6feef6,jewelry,necklace,This swell necklace for women will be noticed by all,133.99,F
6d665e0d-486e-492b-9486-ba278f387f73,homedecor,decorative,This rattan basket is a must-have for your home decor,44.99,ANY
b7b07f88-31b4-425b-97a9-c161199f795c,homedecor,cushion,This tan rectangular cushion is a must-have for your house,51.99,ANY
4307367e-5c37-4798-b18b-ed1da0dd0cf4,apparel,scarf,Spiffy scarf for women for every occasion,77.99,F
0429c546-72d1-4a5d-9db5-bd973c9e4461,groceries,vegetables,Keep your pantry well stocked with this delish and polyvalent veggie,3.99,ANY
61875c90-20ec-461b-b523-1c8a6fe6ce97,footwear,boot,Unsurpassed pair of leather boots,97.99,M
1f86f829-3fd7-4f4e-8003-5702c52a5034,accessories,glasses,These groovy glasses for men are outstanding,58.99,M
bf35140f-0a5d-4462-857d-77a6a293e412,homedecor,cushion,This light gray set cushion is a must-have for your house,46.99,ANY
372342cf-d9cc-4f0e-a3bf-3f939dd5f9b4,instruments,percussion,This cymbal will delight the most demanding musician,426.99,ANY
c9eed2f3-8275-47a6-b485-166162262c70,beauty,bathing,A must-have in every bathroom,9.99,ANY
47d7a314-6fe8-4e00-9586-682410719b7c,homedecor,cushion,This red rectangular cushion is very comfy,40.99,ANY
ead102ca-975b-415b-86f7-2ec87a9e6f03,homedecor,cushion,This white rectangular cushion is very nice,49.99,ANY
8c273951-c115-4400-a50e-25a4bd1a9a52,floral,plant,Drought-resistant indoor plant grown sustainably on our organic farms,50.99,ANY
9f7a3af3-a5d5-4a4f-9fc5-3fdae3e9787a,jewelry,earrings,Trendy earrings for women,19.99,F
da045e5a-9383-482d-956b-8a3b6d705bdc,apparel,jacket,Warm casual coat for women for winter,89.99,F
98863ae7-9d5a-4b56-b3e9-3c6c053114e8,footwear,formal,Pair of sparkly formal heels for women,9.99,F
5c0b070b-3bf1-4d2b-99a7-0906b90ca28f,housewares,kitchen,Unparalleled for every kitchen,58.99,ANY
2de31913-a3d6-4e93-a8a9-17983f24e2f8,instruments,strings,This electric guitar will delight the most demanding musician,262.99,ANY
c424e679-0da2-4d81-afb8-f9dc5d21ce83,apparel,jacket,Warm casual jacket for men,133.99,M
3eeaa0d2-b2bf-44d6-83cf-0bd1cb7d32f3,apparel,jacket,Warm casual jacket for women,171.99,F
4adabef5-293b-42c0-b6d1-1cf853f6391d,books,travel,Plan your next trip with this essential reference book on China,10.99,ANY
977d3ee7-3a40-4043-8164-c7f66e384940,accessories,handbag,Light gray handbag that works with all outfits,101.99,F
75cb828e-ccc5-41ff-9bdd-9ac3dc7740aa,furniture,dressers,Unequaled white dresser with two drawers is a must-have,142.99,ANY
b889fa0e-bbba-4e93-a41e-eff046a14073,electronics,camera,This camera is perfect for capturing those special moments,1061.99,ANY
fb59921d-39ac-4c6d-b3af-8debc5ad8255,homedecor,clock,This wall clock is a must-have,80.99,ANY
b6296602-fa74-4b2c-94d4-e6a67d7aaac9,furniture,sofas,Definitive slate gray sofa for any room,425.99,ANY
8f08be25-5967-4a2f-82b5-324393201611,homedecor,cushion,This dark slate gray set cushion is a must-have for your house,56.99,ANY
4988dd94-cb08-4dac-bddc-36551d08808c,homedecor,decorative,This wiker basket is a must-have for your home decor,55.99,ANY
c3c32c14-e357-431f-a5ca-ae00a969ee84,instruments,strings,This acoustic guitar is perfect for amateur and professional musicians,489.99,ANY
408410b1-8914-4d3c-aebf-4375d7c36feb,seasonal,easter,A must-have for April,21.99,ANY
4145a8e5-1cb8-45c5-9c9e-97fa7ee5cc20,floral,bouquet,Wedding bouquet grown sustainably on our organic farms,135.99,ANY
d142cebb-ce35-4581-8285-6e54171c23d9,groceries,bakery,Cookie made fresh daily in our kitchens,7.99,ANY
4f9e1247-5342-4a79-ae6d-e53d083840a8,books,travel,Plan your next trip with this essential reference book on Britain,15.99,ANY
252ad448-0031-4705-8ec8-d43ad8df9d71,tools,set,Essential set for every craftperson,24.99,ANY
aca48197-40cf-47b1-8eb3-ceeb29f7f23e,furniture,chairs,Ideal black chair for your office,101.99,ANY
77a73995-ee61-4793-b48c-f9e1125fbce4,floral,centerpiece,Centerpiece delivered fresh and vibrant from our growers,89.99,ANY
44808231-a5a2-4de8-8cd1-724becb8455d,groceries,bakery,Bagel made fresh daily in our kitchens,9.99,ANY
d8bed77a-c906-4f06-aeb1-04c3557f2e8e,homedecor,cushion,This square cushion is a must-have for your house,32.99,ANY
1fc0e7ef-b623-4b1e-90c1-5cadda765301,seasonal,halloween,A must-have for that fanciful day loved by all,42.99,ANY
76507db4-0b67-4c86-b634-f3f1a479124c,instruments,strings,This electric bass will delight the most demanding musician,426.99,ANY
629a89c1-8cd2-4629-93ab-85a3502a050f,floral,centerpiece,Centerpiece grown sustainably on our organic farms,51.99,ANY
ba0c2cb6-26b8-488f-81ad-0fa52eb04940,tools,axe,This axe is a must-have for your toolbox,9.99,ANY
e9daa7cd-8230-4544-9f07-86fa84d7c3c1,jewelry,bracelet,This bracelet for men is sure to show a spirited personality,119.99,M
28c5c21b-81c0-4ff7-85b5-a7367cb9c6db,groceries,bakery,Cookie made fresh daily in our kitchens,8.99,ANY
68ba7c82-7669-4810-b3f7-44215fc4248b,furniture,dressers,Unrivaled white dresser with lots of drawers is a must-have,160.99,ANY
9e798d24-65b8-42ee-b592-21afe2a23b07,furniture,chairs,Relax in this comfy dark slate gray armchair,82.99,ANY
c9ff5b53-f57c-4bca-95ef-456d957073cd,floral,bouquet,Wedding bouquet grown sustainably on our organic farms,105.99,ANY
0646b83c-03a2-4efe-a21a-a408c4b0de49,groceries,bakery,Cupcake made fresh daily in our kitchens,5.99,ANY
99c03934-ef53-4711-b5a6-72b2466d8aae,housewares,kitchen,A must-have for your kitchen,60.99,ANY
1c54c650-dc19-486b-99a2-8621278acb9b,homedecor,lighting,This hanging lamp will enhance your home,17.99,ANY
d9f978ee-732c-41cb-88db-221ac4b9bdf6,apparel,shirt,Voguish casual overshirt for women,68.99,F
819194c7-b742-4f66-8637-ec8ae17f619c,seasonal,valentine,Be sure to order early for that special day,40.99,ANY
b3e617ef-2757-410b-a997-f2cd2006f770,floral,arrangement,Carnations arrangement grown sustainably on our organic farms,112.99,ANY
65c20b6c-7c1b-4f82-bd05-302f83e8cd55,apparel,jacket,Well-insulated winter suit for men,78.99,M
641f3960-72a7-4e2b-be69-8a7539eb50bb,beauty,bathing,Keep a bottle of this product in your bathroom,30.99,ANY
72ae72f3-e7f0-4f03-b8eb-12e78c77741d,beauty,bathing,Keep a bottle of this product in your bathroom,36.99,ANY
ad7d52cc-cc68-4aed-bdb3-cb53317a5b93,groceries,dairy,This cheese is made sustainably by our dairy farmers,5.99,ANY
52f04147-c46e-452c-8e26-21c089cea285,electronics,camera,This video camera is perfect for capturing those special moments,1348.99,ANY
bb710911-1bba-4587-9bbe-65124d8495d0,tools,saw,Essential saw for every craftperson,25.99,ANY
47707417-48c4-4faa-84ee-a06414d29e46,books,travel,Plan your next trip with this essential reference book on Spain,9.99,ANY
9cc46ed9-287c-4ce8-bdb5-8e1fed177dd5,books,cooking,Learn to cook Italian cuisine with these easy recipes,45.99,ANY
a228856e-ed94-48e3-9af3-575d20565bde,books,cooking,Learn to cook Turkish cuisine with these easy recipes,21.99,ANY
4b29ebdb-28d3-49ee-a9b1-cdb49fbb51f9,groceries,seafood,"Flavorful farmed salmon, always sourced sustainably",22.99,ANY
0cb50483-3682-4db5-870c-2b007b2c08b6,groceries,fruits,Make sure to have your fresh dose of vitamin C every day,4.99,ANY
5a0f6f0b-8e77-49c0-aac5-f452ae1054fa,accessories,glasses,Ultracool glasses for men,102.99,M
429991a4-077e-42c0-9f52-c2f3d5bc6686,furniture,sofas,This ritzy gainsboro sofa will be the highlight of any room,667.99,ANY
62206a61-b821-47ea-be0c-c4fbf57e091e,books,travel,Plan your next trip with this essential reference book on Mexico,12.99,ANY
d4abbe9b-19dc-46d7-9ec7-1178f1df276a,furniture,tables,Outstanding dark slate gray worktable for your office,259.99,ANY
1d9ab420-01b5-4d5d-b7b9-43c10f4eac84,homedecor,decorative,This rattan basket will delight everyone,45.99,ANY
101172c2-2a10-4597-bdc2-bc8f5583ef6a,housewares,kitchen,A must-have for your kitchen,50.99,ANY
fe96a096-a0b6-4b20-a332-e11db6c0c7b0,beauty,bathing,Soft towel for the spa,67.99,ANY
d8145423-38c9-43a5-a98f-8cd16fc64817,groceries,seafood,"Flavorful oysters, always sourced sustainably",14.99,ANY
49dd74a3-7d11-454b-b2b1-9d40f0fef566,homedecor,lighting,This floor lamp is a must-have for the lighting of your home,59.99,ANY
b3ad661c-3fc2-43e9-83d2-ea2003e685e1,floral,bouquet,Wedding bouquet grown sustainably on our organic farms,58.99,ANY
8af58e93-a468-4f8c-9ee9-07b55cfcc3c4,homedecor,decorative,This ceramic vase is a must-have for your home decor,21.99,ANY
59ce8372-1bbe-4c53-9913-e3ca5584a055,floral,centerpiece,Centerpiece delivered fresh and vibrant from our growers,81.99,ANY
ded6d577-4fc3-44e1-9cde-d01d6d2f4c7c,furniture,tables,Trendy beige accent table to enhance your room,278.99,ANY
78770acc-562f-42a9-89fb-22bf5b6b60a2,accessories,bag,This saddle brown bag for men is unparalleled for everyday use,115.99,M
367c7c48-d53c-438b-92ff-900282b2789a,footwear,formal,Pair of sparkly heels for women,9.99,F
5f56f489-e61f-49e8-868a-4d98872b2ccb,groceries,seafood,"Flavorful oysters, always sourced sustainably",12.99,ANY
62c73bcf-6dc0-473b-b038-455122c05173,apparel,socks,These ultracool colorful socks will brighten smiles,11.99,M
36136315-1170-4da8-af1f-1bb90c87b05d,furniture,chairs,Relax in this nice gray armchair,150.99,ANY
68ef5629-725e-4c74-93e9-ce5eb2adbbfe,seasonal,halloween,Be sure to order early in October,33.99,ANY
20f199f6-09ae-4bf6-8cfd-aef64b0eea5f,homedecor,decorative,This frame will delight everyone,26.99,ANY
06888a99-341b-4b86-8e31-879c414a43db,homedecor,clock,This wall clock will keep you on time,118.99,ANY
e574f0de-94eb-4781-9ed7-248f5e041549,groceries,fruits,This flavorful fruit is everyone's favorite,2.99,ANY
80939475-9029-41f4-a178-f34ba9d5942b,footwear,sneaker,Dandyish pair of green sneakers to explore in the city,142.99,M
2b1a78db-aab8-41e1-b8e4-9582c886124b,beauty,bathing,Wrap yourself in this rich towel,63.99,ANY
0ad9cfa9-4663-4637-969e-e19bd1466563,furniture,tables,Increase your productivity with this incomparable dark gray worktable,191.99,ANY
24f8ba65-f4e1-4cd1-8a6e-cb3ea490890a,footwear,boot,This pair of brown boots is sublime for the weekend,253.99,F
c48cdd85-79da-4903-8bbf-93ee217f1fb6,seasonal,halloween,A must-have for that fanciful day loved by all,35.99,ANY
124db2fa-17c0-4e94-9844-d1b64a081df5,furniture,chairs,Outstanding white chair for any dining room,173.99,ANY
e0b421f5-481e-4766-847d-474ee9228729,accessories,bag,This black bag for women is quintessential for all occassions,78.99,F
3ab996bb-9c82-4e05-b14a-81a68352c418,instruments,percussion,This acoustic drum is perfect for amateur and professional musicians,392.99,ANY
6bc496d1-f431-4642-b9ae-9dcc5881afe9,electronics,computer,This desktop computer is a boon for productivity,783.99,ANY
7c0147c7-4dba-4d4c-a543-57c5da5a4774,accessories,glasses,These voguish glasses for women are perfect everywhere,93.99,F
a33a4931-ddd6-410e-bf4c-7e1f0a39feec,outdoors,pet,Your dog will love to chase this frisbee,25.99,ANY
b7f0c7f6-3d88-4dda-a6ab-ba3a29502642,apparel,shirt,Striped tee for men for every occasion,241.99,M
ac29564f-2c74-47c7-8f00-5249c8eda839,apparel,jacket,Cool casual jacket for men for all seasons,100.99,M
d229f4fc-1b89-4d13-af33-5f913aa2ce60,groceries,vegetables,This delish veggie is a must-have in every pantry,6.99,ANY
a4fcaa1c-4195-4cf2-a86d-eff58b630fb6,furniture,dressers,This ideal dresser has lots of drawers to organize all your items,208.99,ANY
fdeba818-2269-4cf1-81c8-29fc8d984e6c,footwear,sneaker,Swell pair of dark slate gray sneakers to explore in the city,70.99,M
4f566f59-4400-437a-803e-88f81b303eec,furniture,tables,This definitive rosy-brown dining table will delight everyone,183.99,ANY
4064a5eb-2183-4b89-8989-b8741e4dcb1c,apparel,shirt,Light Steel Blue casual shirt for men,119.99,M
6bd26ffc-9fae-447b-a23c-fcb14187302a,homedecor,decorative,This glass vase is a must-have for your home decor,22.99,ANY
31b83eb4-bd8a-4b5a-87ff-f52abe6aa1f4,footwear,formal,Pair of sparkly heels for women,9.99,F
4a43c5f7-090c-4cce-93fe-36062539ec38,seasonal,christmas,A must-have for the holidays,67.99,ANY
6dc07033-24b9-4467-bd32-31a2e9ccb404,jewelry,bracelet,Dandyish bracelet for men,105.99,M
1fd2dbd0-c0a4-40f7-b7f7-94c0d94a751d,furniture,chairs,Increase your productivity with this comfy light gray office chair,129.99,ANY
af51e84d-4043-4a11-88de-8233129ac8b2,furniture,tables,Increase your productivity with this unrivaled light gray worktable,225.99,ANY
ca25b000-2e61-4d1d-b4f5-02263bb3e93f,footwear,formal,Pair of nude heels for women,9.99,F
a5a8b97e-8464-4da5-ab78-3531e5d313df,accessories,glasses,Groovy glasses for men,90.99,M
434b62f5-08ac-47c8-9847-bdfcb7283f08,jewelry,bracelet,This classy bracelet for women will turn heads,92.99,F
812b315c-fb4b-4103-8911-95968f9cc6c0,seasonal,christmas,A must-have for the holidays,115.99,ANY
856b01b1-5353-4e82-b11c-41088302e6d8,apparel,scarf,Sans pareil scarf for women,125.99,F
21f1a41e-ce2f-4cf5-9aee-e81e9b79c814,furniture,chairs,Enjoy this soft dark slate gray dining chair,170.99,ANY
bb80331b-7da8-4edc-a797-e1d462c14e82,footwear,sneaker,Trendy pair of black and white sneakers to explore in the neighborhood,219.99,M
f1e0660b-53db-4e9a-a86a-8a990d6b2988,seasonal,christmas,A favorite for the holidays,105.99,ANY
15a367e4-4039-432a-b16e-562e3d02f3db,seasonal,easter,A must-have for April,47.99,ANY
73377697-7108-4d8f-9ee1-72603dc4ece9,apparel,jacket,Well-insulated casual coat for men for winter,159.99,M
7186f66d-c305-4b61-b966-80d0c1e003b9,homedecor,decorative,This frame is a must-have for your home decor,15.99,ANY
dc073623-4b95-47d9-93cb-0171c20baa04,accessories,glasses,These groovy glasses for women are perfect everywhere,131.99,F
58b3efdc-79bf-4163-9f4e-38f0833304a8,furniture,sofas,This fancy black sofa will be the highlight of any room,750.99,ANY
39832066-ba59-4dc6-8aca-80ca36d4c92c,seasonal,christmas,A favorite for the holidays,146.99,ANY
8bdfaf9c-4ff6-46bc-a304-33db265f36ef,housewares,bowls,This classic ceramic bowl is a must-have,51.99,ANY
bde65f09-635c-4293-97c0-063d101f9efe,apparel,jacket,Warm all seasons casual jacket for men,119.99,M
6f572e38-61df-4469-be05-b3ad2950a895,groceries,fruits,Make sure to have your fresh dose of vitamin C every day,2.99,ANY
45984cee-39f4-4977-83ff-c9246dfb1d82,seasonal,christmas,A must-have for the holidays,131.99,ANY
c02e9ebe-eb65-4a03-9078-e4faf330ddd0,furniture,tables,Increase your productivity with this unparalleled wheat hue worktable,320.99,ANY
8484c198-4d0c-4c15-9805-db81ea8d705a,homedecor,cushion,This yellow set of cushions is very nice,59.99,ANY
ec02b332-05a5-40dd-ae9d-2b0672baaa6e,books,travel,Plan your next trip with this essential reference book on Japan,15.99,ANY
7d6e50fb-c941-4f1e-b97d-612f627a271a,homedecor,cushion,This dark gray square cushion is a must-have for your house,37.99,ANY
3eba60d7-fbde-4f4d-bb3a-30df62057fe0,accessories,belt,Ultracool belt for all occasions,64.99,M
7833c1b0-4ee2-45f8-b9e6-a3a5ed20183f,jewelry,necklace,Outstanding necklace for women,97.99,F
4992fa6d-03f3-4e30-9f0e-bff69a4fb67d,footwear,formal,Pair of light slate gray heels for women,9.99,F
6177b0fb-944b-41da-87ea-f0d643ed1953,seasonal,christmas,A must-have for the holidays,66.99,ANY
e7af1dbd-4ab2-4201-b70f-1a52e4ea9250,footwear,formal,Pair of brown formal shoes for men,9.99,M
9bfae0e7-27ee-497a-b853-e663578417e7,groceries,vegetables,Keep your pantry well stocked with this tasty and polyvalent veggie,6.99,ANY
0451dee1-8367-4bf7-95a8-1e96c4f96784,apparel,scarf,Funky scarf for men,87.99,M
da1f2a8f-5372-4102-b357-9e40900ebb08,accessories,backpack,This red backpack for women is first-class for the season,148.99,F
65921948-81ea-4075-8649-4c9de10f5525,accessories,belt,Cool belt for all occasions,58.99,M
d075a8b0-003f-4493-8063-857020a617b7,homedecor,lighting,This hanging lamp is a must-have for the lighting of your home,49.99,ANY
2cb36a55-d238-45cf-a3ac-8e2cdf187c43,apparel,socks,Voguish and colorful socks,12.99,F
f3d4fa81-45cc-43f8-ac18-7c721765ff1a,instruments,percussion,This acoustic drum is perfect for amateur and professional musicians,98.99,ANY
47a6ceba-b467-43cb-aac8-b9eb95e3740a,footwear,sneaker,This swell pair of white sneakers is perfect for exploring in the city,189.99,M
aa94f33d-f5bd-401a-a203-6d757a2a2030,jewelry,necklace,Funky necklace for women for any occasion,169.99,F
c4a3ded4-0004-49dd-9f98-542bb6d71f2c,jewelry,earrings,Groovy earrings for men,103.99,M
9f4faccf-39f6-4ee8-9ec9-5f818c8e7452,furniture,sofas,This fancy peru-orange sofa will be the highlight of any room,974.99,ANY
704532b6-1007-476b-86ee-0258f28edc49,accessories,watch,This ultracool watch for men is unparalleled everyday,145.99,M
296d144e-7f86-464b-9c5a-f545257f1700,accessories,backpack,This black backpack for women is first-class for the season,144.99,F
9c05f815-7ecf-4054-9132-7f47455d3a43,accessories,belt,Swell belt for women,25.99,F
229465fa-a602-4ba5-8c9c-646ca57e646a,seasonal,christmas,A must-have for the holidays,76.99,ANY
e66109bf-9ad5-430a-90e5-900c00119f39,housewares,kitchen,Definitive for every kitchen,52.99,ANY
589823cc-89f2-4bd5-8cab-e89478f530ea,books,cooking,Learn to cook Thai cuisine with these easy recipes,47.99,ANY
e8b08d94-751c-4334-8ced-799bf907149e,seasonal,christmas,A must-have for the holidays,137.99,ANY
89b22997-f0a4-4846-9683-2d10f65bb45a,tools,hammer,This hammer is a must-have for your toolbox,16.99,ANY
d6c66a35-d63a-455e-a26e-62a72d1db254,housewares,kitchen,A must-have for your kitchen,65.99,ANY
370d4c36-44ed-4abd-8ccb-41d85b4251c9,apparel,shirt,Supercool dressy shirt for men,206.99,M
cc09417b-a314-4752-9790-dd789d2d24f4,housewares,bowls,Stylish ceramic bowl for every occasion,25.99,ANY
b4891f1e-b0b0-453f-b991-911dc0fda074,seasonal,valentine,A must-have for that special day,23.99,ANY
e2ea5f0e-7c91-4d51-89e2-a06afc5e939b,apparel,jacket,Well-insulated casual jacket for men for all seasons,163.99,M
c7ed1688-5cb8-463d-b0d3-2af518c6146c,furniture,chairs,Edgy dark gray armchair for any room,148.99,ANY
aa4fca9d-d1ef-4529-9169-7bc075733bd5,seasonal,halloween,Be sure to order early in October,25.99,ANY
7a373422-fc33-4e71-959f-99998d0b7686,furniture,sofas,Ideal dark slate gray sofa for any room,880.99,ANY
aa564ee3-67ef-4428-8ad9-fe785a0fff63,tools,screwdriver,This screwdriver is a must-have for your toolbox,7.99,ANY
c60a61d0-d9c3-4336-88f0-aaef40a8d3e6,outdoors,camping,This camping compass is essential in the wilderness,10.99,ANY
b1eb4959-3cf7-4e0b-9473-24d0f900b0ab,outdoors,fishing,Unequaled fishing hooks for every pole,109.99,ANY
7aba3399-b868-4dad-a2fd-05c170aa4232,footwear,formal,Pair of sparkly heels for women,9.99,F
87807a95-ee08-4a17-9a79-af93c7ccd1b5,groceries,bakery,This flavorful strawberry cake will delight everyone,12.99,ANY
9a393431-2a27-4bb5-97fd-74ab904cec03,footwear,sandals,Trendy pair of sandals for women,9.99,F
5ca334e8-5ae0-4935-b797-9b392dd4d0d9,footwear,formal,Pair of hot pink formal shoes for women,9.99,F
83095a08-2968-4275-a375-4fab404df7ac,beauty,grooming,Razor for every bathroom,62.99,M
2b8f89d0-4078-4701-8aac-89c48d8ba392,seasonal,christmas,A must-have for the holidays,114.99,ANY
